,start,end,duration,round_epochs,loss,mean_absolute_error,val_loss,val_mean_absolute_error,batch_size,dropout,epochs,losses,lstm_units,optimizer
0,05/10/22-203225,05/10/22-203338,73.72131943702698,100,-93.2326889038086,0.33869966864585876,-71.4432601928711,0.3467523753643036,32,0.1,100,binary_crossentropy,50,rmsprop
1,05/10/22-203339,05/10/22-203450,71.58585286140442,100,-74.25509643554688,0.3823581337928772,-64.34966278076172,0.3635445535182953,32,0.1,100,binary_crossentropy,50,Adam
2,05/10/22-203450,05/10/22-203633,102.34946751594543,100,-187.94732666015625,0.3347797393798828,-142.2338409423828,0.3530246317386627,32,0.1,100,binary_crossentropy,100,rmsprop
3,05/10/22-203633,05/10/22-203816,102.88589119911194,100,-147.42884826660156,0.3673320710659027,-116.2613296508789,0.37583300471305847,32,0.1,100,binary_crossentropy,100,Adam
4,05/10/22-203816,05/10/22-203928,72.0928316116333,100,46.44823455810547,1.0229930877685547,47.963260650634766,1.0227376222610474,32,0.1,100,categorical_crossentropy,50,rmsprop
5,05/10/22-203928,05/10/22-204043,74.57177972793579,100,44.170318603515625,1.0229930877685547,45.53373718261719,1.0227376222610474,32,0.1,100,categorical_crossentropy,50,Adam
6,05/10/22-204043,05/10/22-204239,116.09421992301941,100,84.6052474975586,1.0229930877685547,87.44898223876953,1.0227376222610474,32,0.1,100,categorical_crossentropy,100,rmsprop
7,05/10/22-204239,05/10/22-204459,139.85594129562378,100,80.85577392578125,1.0229930877685547,83.54306030273438,1.0227376222610474,32,0.1,100,categorical_crossentropy,100,Adam
8,05/10/22-204500,05/10/22-204635,95.49235844612122,100,0.3179154396057129,0.3179154396057129,0.31590116024017334,0.31590116024017334,32,0.1,100,mean_absolute_error,50,rmsprop
9,05/10/22-204635,05/10/22-204757,81.61267304420471,100,0.3179154396057129,0.3179154396057129,0.31590116024017334,0.31590116024017334,32,0.1,100,mean_absolute_error,50,Adam
10,05/10/22-204757,05/10/22-205010,132.45416593551636,100,0.3179154396057129,0.3179154396057129,0.31590116024017334,0.31590116024017334,32,0.1,100,mean_absolute_error,100,rmsprop
11,05/10/22-205010,05/10/22-205214,123.88013124465942,100,0.3179154396057129,0.3179154396057129,0.31590116024017334,0.31590116024017334,32,0.1,100,mean_absolute_error,100,Adam
12,05/10/22-205214,05/10/22-205338,84.00166082382202,100,-77.5003890991211,0.35342147946357727,-60.552818298339844,0.34615176916122437,32,0.5,100,binary_crossentropy,50,rmsprop
13,05/10/22-205338,05/10/22-205513,94.58932781219482,100,-62.00971984863281,0.38729968667030334,-50.811790466308594,0.3691048324108124,32,0.5,100,binary_crossentropy,50,Adam
14,05/10/22-205513,05/10/22-205830,197.01366209983826,100,-159.85023498535156,0.3434319496154785,-124.43580627441406,0.3402775228023529,32,0.5,100,binary_crossentropy,100,rmsprop
15,05/10/22-205830,05/10/22-210132,181.56925535202026,100,-118.33585357666016,0.38387325406074524,-94.16038513183594,0.3627374768257141,32,0.5,100,binary_crossentropy,100,Adam
16,05/10/22-210132,05/10/22-210318,105.5593888759613,100,58.23809814453125,1.0229930877685547,58.799896240234375,1.0227376222610474,32,0.5,100,categorical_crossentropy,50,rmsprop
17,05/10/22-210318,05/10/22-210501,103.36149263381958,100,49.982967376708984,1.0229930877685547,51.70555877685547,1.0227376222610474,32,0.5,100,categorical_crossentropy,50,Adam
18,05/10/22-210501,05/10/22-210823,201.43107914924622,100,100.17827606201172,1.0229930877685547,103.38973999023438,1.0227376222610474,32,0.5,100,categorical_crossentropy,100,rmsprop
19,05/10/22-210823,05/10/22-211156,212.9983193874359,100,93.38187408447266,1.0229930877685547,96.60420227050781,1.0227376222610474,32,0.5,100,categorical_crossentropy,100,Adam
20,05/10/22-211156,05/10/22-211349,113.04221987724304,100,0.3179154396057129,0.3179154396057129,0.31590116024017334,0.31590116024017334,32,0.5,100,mean_absolute_error,50,rmsprop
21,05/10/22-211350,05/10/22-211548,118.78197407722473,100,0.3179154694080353,0.3179154694080353,0.31590116024017334,0.31590116024017334,32,0.5,100,mean_absolute_error,50,Adam
22,05/10/22-211549,05/10/22-211955,246.96251559257507,100,0.3179154396057129,0.3179154396057129,0.31590116024017334,0.31590116024017334,32,0.5,100,mean_absolute_error,100,rmsprop
23,05/10/22-211956,05/10/22-212426,270.46059679985046,100,0.3179154396057129,0.3179154396057129,0.31590116024017334,0.31590116024017334,32,0.5,100,mean_absolute_error,100,Adam
24,05/10/22-212426,05/10/22-212549,82.13302683830261,100,-53.07767868041992,0.3447946310043335,-40.856903076171875,0.3470297157764435,64,0.1,100,binary_crossentropy,50,rmsprop
25,05/10/22-212549,05/10/22-212709,80.3268620967865,100,-34.959922790527344,0.3863932192325592,-30.65799331665039,0.37770938873291016,64,0.1,100,binary_crossentropy,50,Adam
26,05/10/22-212709,05/10/22-213022,192.44151210784912,100,-97.42337799072266,0.34492504596710205,-76.17805480957031,0.3525916337966919,64,0.1,100,binary_crossentropy,100,rmsprop
27,05/10/22-213022,05/10/22-213335,193.44796562194824,100,-83.47950744628906,0.35107675194740295,-70.84766387939453,0.3628828525543213,64,0.1,100,binary_crossentropy,100,Adam
28,05/10/22-213336,05/10/22-213512,96.51836204528809,100,23.5488338470459,1.022752285003662,21.959760665893555,1.0227375030517578,64,0.1,100,categorical_crossentropy,50,rmsprop
29,05/10/22-213512,05/10/22-213647,94.57674527168274,100,21.081396102905273,1.0229932069778442,20.55564308166504,1.0227375030517578,64,0.1,100,categorical_crossentropy,50,Adam
