,start,end,duration,round_epochs,loss,mean_absolute_error,val_loss,val_mean_absolute_error,batch_size,dropout,epochs,losses,lstm_units,optimizer
0,05/11/22-105921,05/11/22-110613,412.1577413082123,100,-117.36400604248047,0.30203092098236084,-79.93938446044922,0.33222925662994385,32,0.1,100,binary_crossentropy,50,rmsprop
1,05/11/22-110613,05/11/22-111313,419.9062535762787,100,-75.21810913085938,0.33602654933929443,-60.997371673583984,0.34319016337394714,32,0.1,100,binary_crossentropy,50,Adam
2,05/11/22-111314,05/11/22-112341,627.7899792194366,100,-235.6652374267578,0.30117499828338623,-163.03671264648438,0.31206706166267395,32,0.1,100,binary_crossentropy,100,rmsprop
3,05/11/22-112342,05/11/22-113444,662.7157077789307,100,-146.60682678222656,0.34734633564949036,-112.41886138916016,0.35307446122169495,32,0.1,100,binary_crossentropy,100,Adam
4,05/11/22-113444,05/11/22-114529,644.905038356781,100,77.59529876708984,0.9794425368309021,88.41814422607422,0.9863702654838562,32,0.1,100,categorical_crossentropy,50,rmsprop
5,05/11/22-114530,05/11/22-115532,602.767110824585,100,60.91118621826172,1.0229930877685547,75.47086334228516,1.0227376222610474,32,0.1,100,categorical_crossentropy,50,Adam
6,05/11/22-115532,05/11/22-121019,886.7793962955475,100,127.54769897460938,1.0000674724578857,145.09002685546875,1.0133394002914429,32,0.1,100,categorical_crossentropy,100,rmsprop
7,05/11/22-121019,05/11/22-122537,917.5447826385498,100,93.09716033935547,1.0229930877685547,90.64363098144531,1.0227376222610474,32,0.1,100,categorical_crossentropy,100,Adam
8,05/11/22-122537,05/11/22-123709,692.3552453517914,100,0.2225089967250824,0.2225089967250824,0.26126527786254883,0.26126527786254883,32,0.1,100,mean_absolute_error,50,rmsprop
9,05/11/22-123710,05/11/22-124847,696.8861219882965,100,0.3179154396057129,0.3179154396057129,0.31590116024017334,0.31590116024017334,32,0.1,100,mean_absolute_error,50,Adam
10,05/11/22-124847,05/11/22-130517,990.2571184635162,100,0.20920512080192566,0.20920512080192566,0.2548307776451111,0.2548307776451111,32,0.1,100,mean_absolute_error,100,rmsprop
