round_epochs,loss,mean_absolute_error,val_loss,val_mean_absolute_error,batch_size,dropout,epochs,losses,lstm_units,optimizer
100,-88.20438385009766,0.35315337777137756,-68.41578674316406,0.3529696464538574,32,0.1,100,binary_crossentropy,50,rmsprop
100,-87.55699920654297,0.3639970123767853,-71.76346588134766,0.38161179423332214,32,0.1,100,binary_crossentropy,50,Adam
100,-184.14682006835938,0.33643031120300293,-143.201416015625,0.3531603515148163,32,0.1,100,binary_crossentropy,100,rmsprop
100,-144.36483764648438,0.3551241159439087,-112.40499114990234,0.3634662628173828,32,0.1,100,binary_crossentropy,100,Adam
100,54.272911071777344,1.0229930877685547,52.86208724975586,1.0227376222610474,32,0.1,100,categorical_crossentropy,50,rmsprop
100,44.30303955078125,1.0229930877685547,45.70610427856445,1.0227376222610474,32,0.1,100,categorical_crossentropy,50,Adam
100,85.0059585571289,1.0229930877685547,87.90961456298828,1.0227376222610474,32,0.1,100,categorical_crossentropy,100,rmsprop
100,80.8687515258789,1.0229930877685547,83.61466217041016,1.0227376222610474,32,0.1,100,categorical_crossentropy,100,Adam
100,0.3179154396057129,0.3179154396057129,0.31590116024017334,0.31590116024017334,32,0.1,100,mean_absolute_error,50,rmsprop
100,0.3179154396057129,0.3179154396057129,0.31590116024017334,0.31590116024017334,32,0.1,100,mean_absolute_error,50,Adam
100,0.3179154396057129,0.3179154396057129,0.31590116024017334,0.31590116024017334,32,0.1,100,mean_absolute_error,100,rmsprop
100,0.3179154396057129,0.3179154396057129,0.31590116024017334,0.31590116024017334,32,0.1,100,mean_absolute_error,100,Adam
100,-78.52203369140625,0.3542834222316742,-61.91548538208008,0.33977481722831726,32,0.5,100,binary_crossentropy,50,rmsprop
100,-68.94434356689453,0.36084309220314026,-56.93935012817383,0.3460904061794281,32,0.5,100,binary_crossentropy,50,Adam
100,-162.4248504638672,0.35087820887565613,-124.16035461425781,0.3475792109966278,32,0.5,100,binary_crossentropy,100,rmsprop
100,-138.30667114257812,0.3698817193508148,-110.48210144042969,0.35271963477134705,32,0.5,100,binary_crossentropy,100,Adam
100,57.844783782958984,1.0229930877685547,58.86382293701172,1.0227376222610474,32,0.5,100,categorical_crossentropy,50,rmsprop
100,50.17098617553711,1.0229930877685547,51.969364166259766,1.0227376222610474,32,0.5,100,categorical_crossentropy,50,Adam
100,106.41773986816406,1.0229930877685547,109.47374725341797,1.0227376222610474,32,0.5,100,categorical_crossentropy,100,rmsprop
100,93.63861083984375,1.0229930877685547,96.7276611328125,1.0227376222610474,32,0.5,100,categorical_crossentropy,100,Adam
100,0.3179154396057129,0.3179154396057129,0.31590116024017334,0.31590116024017334,32,0.5,100,mean_absolute_error,50,rmsprop
