round_epochs,loss,mean_absolute_error,val_loss,val_mean_absolute_error,batch_size,dropout,epochs,losses,lstm_units,optimizer
100,-93.2326889038086,0.33869966864585876,-71.4432601928711,0.3467523753643036,32,0.1,100,binary_crossentropy,50,rmsprop
100,-74.25509643554688,0.3823581337928772,-64.34966278076172,0.3635445535182953,32,0.1,100,binary_crossentropy,50,Adam
100,-187.94732666015625,0.3347797393798828,-142.2338409423828,0.3530246317386627,32,0.1,100,binary_crossentropy,100,rmsprop
100,-147.42884826660156,0.3673320710659027,-116.2613296508789,0.37583300471305847,32,0.1,100,binary_crossentropy,100,Adam
100,46.44823455810547,1.0229930877685547,47.963260650634766,1.0227376222610474,32,0.1,100,categorical_crossentropy,50,rmsprop
100,44.170318603515625,1.0229930877685547,45.53373718261719,1.0227376222610474,32,0.1,100,categorical_crossentropy,50,Adam
100,84.6052474975586,1.0229930877685547,87.44898223876953,1.0227376222610474,32,0.1,100,categorical_crossentropy,100,rmsprop
100,80.85577392578125,1.0229930877685547,83.54306030273438,1.0227376222610474,32,0.1,100,categorical_crossentropy,100,Adam
100,0.3179154396057129,0.3179154396057129,0.31590116024017334,0.31590116024017334,32,0.1,100,mean_absolute_error,50,rmsprop
100,0.3179154396057129,0.3179154396057129,0.31590116024017334,0.31590116024017334,32,0.1,100,mean_absolute_error,50,Adam
100,0.3179154396057129,0.3179154396057129,0.31590116024017334,0.31590116024017334,32,0.1,100,mean_absolute_error,100,rmsprop
100,0.3179154396057129,0.3179154396057129,0.31590116024017334,0.31590116024017334,32,0.1,100,mean_absolute_error,100,Adam
100,-77.5003890991211,0.35342147946357727,-60.552818298339844,0.34615176916122437,32,0.5,100,binary_crossentropy,50,rmsprop
100,-62.00971984863281,0.38729968667030334,-50.811790466308594,0.3691048324108124,32,0.5,100,binary_crossentropy,50,Adam
100,-159.85023498535156,0.3434319496154785,-124.43580627441406,0.3402775228023529,32,0.5,100,binary_crossentropy,100,rmsprop
100,-118.33585357666016,0.38387325406074524,-94.16038513183594,0.3627374768257141,32,0.5,100,binary_crossentropy,100,Adam
100,58.23809814453125,1.0229930877685547,58.799896240234375,1.0227376222610474,32,0.5,100,categorical_crossentropy,50,rmsprop
100,49.982967376708984,1.0229930877685547,51.70555877685547,1.0227376222610474,32,0.5,100,categorical_crossentropy,50,Adam
100,100.17827606201172,1.0229930877685547,103.38973999023438,1.0227376222610474,32,0.5,100,categorical_crossentropy,100,rmsprop
100,93.38187408447266,1.0229930877685547,96.60420227050781,1.0227376222610474,32,0.5,100,categorical_crossentropy,100,Adam
100,0.3179154396057129,0.3179154396057129,0.31590116024017334,0.31590116024017334,32,0.5,100,mean_absolute_error,50,rmsprop
100,0.3179154694080353,0.3179154694080353,0.31590116024017334,0.31590116024017334,32,0.5,100,mean_absolute_error,50,Adam
100,0.3179154396057129,0.3179154396057129,0.31590116024017334,0.31590116024017334,32,0.5,100,mean_absolute_error,100,rmsprop
100,0.3179154396057129,0.3179154396057129,0.31590116024017334,0.31590116024017334,32,0.5,100,mean_absolute_error,100,Adam
100,-53.07767868041992,0.3447946310043335,-40.856903076171875,0.3470297157764435,64,0.1,100,binary_crossentropy,50,rmsprop
100,-34.959922790527344,0.3863932192325592,-30.65799331665039,0.37770938873291016,64,0.1,100,binary_crossentropy,50,Adam
100,-97.42337799072266,0.34492504596710205,-76.17805480957031,0.3525916337966919,64,0.1,100,binary_crossentropy,100,rmsprop
100,-83.47950744628906,0.35107675194740295,-70.84766387939453,0.3628828525543213,64,0.1,100,binary_crossentropy,100,Adam
100,23.5488338470459,1.022752285003662,21.959760665893555,1.0227375030517578,64,0.1,100,categorical_crossentropy,50,rmsprop
100,21.081396102905273,1.0229932069778442,20.55564308166504,1.0227375030517578,64,0.1,100,categorical_crossentropy,50,Adam
100,33.08955383300781,1.0229932069778442,33.910911560058594,1.0227375030517578,64,0.1,100,categorical_crossentropy,100,rmsprop
100,34.46151351928711,1.0229932069778442,34.90226745605469,1.0227375030517578,64,0.1,100,categorical_crossentropy,100,Adam
100,0.3179154098033905,0.3179154098033905,0.31590116024017334,0.31590116024017334,64,0.1,100,mean_absolute_error,50,rmsprop
100,0.31791597604751587,0.31791597604751587,0.31590163707733154,0.31590163707733154,64,0.1,100,mean_absolute_error,50,Adam
100,0.3179154098033905,0.3179154098033905,0.31590116024017334,0.31590116024017334,64,0.1,100,mean_absolute_error,100,rmsprop
100,0.317915678024292,0.317915678024292,0.31590136885643005,0.31590136885643005,64,0.1,100,mean_absolute_error,100,Adam
100,-40.08659744262695,0.3712819218635559,-31.082897186279297,0.36726289987564087,64,0.5,100,binary_crossentropy,50,rmsprop
100,-41.138633728027344,0.36538150906562805,-34.810691833496094,0.3431908190250397,64,0.5,100,binary_crossentropy,50,Adam
100,-83.9935302734375,0.3452446460723877,-67.42284393310547,0.33904677629470825,64,0.5,100,binary_crossentropy,100,rmsprop
100,-68.43944549560547,0.36538758873939514,-54.57224655151367,0.3571907579898834,64,0.5,100,binary_crossentropy,100,Adam
100,25.482723236083984,1.0229932069778442,25.983112335205078,1.0227375030517578,64,0.5,100,categorical_crossentropy,50,rmsprop
100,24.663728713989258,1.0229932069778442,24.99336051940918,1.0227375030517578,64,0.5,100,categorical_crossentropy,50,Adam
100,47.319278717041016,1.0229932069778442,47.42570495605469,1.0227375030517578,64,0.5,100,categorical_crossentropy,100,rmsprop
100,42.7264404296875,1.0229932069778442,43.52958297729492,1.0227375030517578,64,0.5,100,categorical_crossentropy,100,Adam
